BusinessName,LicenseNumber,LicenseType,ServiceStreet,ServiceStreet2,ServiceUnitType,ServiceUnit,ServiceCity,ServiceCounty,ServiceState,ServiceZip,ServiceCountry,IssuedDate,MailingStreet,MailingStreet2,MailingUnitType,MailingUnit,MailingCity,MailingCounty,MailingState,MailingZip,MailingCountry
SOUL CAFE,1074170,TPS,7615 E PINNACLE PEAK RD STE B1,,STE,B1,SCOTTSDALE,MARICOPA,AZ,852556178,USA,2015-12-15 00:00:00,,,,,,,,,
KOSTER,1121070,TPS,7302 E RANCHO VISTA DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852511315,USA,2015-12-09 00:00:00,7830 E EVANS RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852603507,USA
THE FRUITGUYS,1124798,TPS,111 E MARICOPA FWY  ,,,,PHOENIX,MARICOPA,AZ,850042919,USA,2016-04-04 00:00:00,490 ECCLES AVE  ,,,,SOUTH SAN FRANCISCO,SAN MATEO,CA,940801901,USA
SALON C. C.,1108357,BOP,10201 N SCOTTSDALE RD STE 27,,STE,27,SCOTTSDALE,MARICOPA,AZ,852531569,USA,2018-01-25 00:00:00,19219 N 34TH AVE  ,,,,PHOENIX,MARICOPA,AZ,850276154,USA
HAYDEN FAMILY MEDICAL CENTER L,0081168,BOP,2445 N HAYDEN RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852572399,USA,2018-01-03 00:00:00,,,,,,,,,
AMERICA  MARKET PLACE,1050998,TPS,6802 E THOMAS RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852516827,USA,2017-02-16 00:00:00,,,,,,,,,
KARL STORZ ENDOSCOPY AMERICA I,1086811,TPS,2151 E GRAND AVE  ,,,,EL SEGUNDO,LOS ANGELES,CA,902455017,USA,2015-12-23 00:00:00,,,,,,,,,
DON LUTHER PAINTING AND WALLCO,1049290,TPS,15022 E MARATHON DR  ,,,,FOUNTAIN HLS,MARICOPA,AZ,852681335,USA,2016-01-05 00:00:00,PO BOX 20315  ,,,,FOUNTAIN HLS,MARICOPA,AZ,852690315,USA
EXTREME ELECTRICAL SERVICES LL,1063317,TPS,3911 S ALDER DR  ,,,,TEMPE,MARICOPA,AZ,852825702,USA,2016-01-06 00:00:00,PO BOX 20370  ,,,,MESA,MARICOPA,AZ,852770370,USA
BELDEN INC,1121546,TPS,2200 US HIGHWAY 27 S  ,,,,RICHMOND,WAYNE,IN,473747437,USA,2015-11-24 00:00:00,40 SHUMAN BLVD STE 160,,STE,160,NAPERVILLE,DU PAGE,IL,605638650,USA
THE HAWORTH CORPORATION,1053010,TPS,1110 E MISSOURI AVE STE 200,,STE,200,PHOENIX,MARICOPA,AZ,850142754,USA,2015-12-21 00:00:00,,,,,,,,,
KISMET DESIGN INC,0904515,TPS,6113 E LAUREL LN  ,,,,SCOTTSDALE,MARICOPA,AZ,852544960,USA,2015-12-30 00:00:00,,,,,,,,,
THE FORUM PUEBLO NORTE,0917543,TPS,7090 E MESCAL ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852546118,USA,2015-11-21 00:00:00,400 CENTRE ST  ,,,,NEWTON,MIDDLESEX,MA,024582000,USA
VIP SPA & MASSAGE LLC,1133346,BOP,7357 E 6TH AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852513401,USA,2018-02-14 00:00:00,,,,,,,,,
BRIAN H WILLIAMS DDS LTD,1037266,BOP,9825 E BELL RD STE 140,,STE,140,SCOTTSDALE,MARICOPA,AZ,852602116,USA,2017-12-08 00:00:00,,,,,,,,,
E E TAX FINANCIAL SERVICE,1038727,TPS,6847 E THOMAS RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852516875,USA,2015-12-10 00:00:00,,,,,,,,,
KRYWKO EYE CARE PLLC,1090146,BOP,7550 E 2ND ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852514504,USA,2017-12-18 00:00:00,4301 N 79TH ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852514118,USA
SLOUCH CAT CREATIONS,1120213,TPS,5143 SHOW LOW LAKE RD  ,,,,LAKESIDE,NAVAJO,AZ,859295218,USA,2016-01-06 00:00:00,,,,,,,,,
SES PROPERTIES LLP,0001782,TPS,4231 N WINFIELD SCOTT PLZ  ,,,,SCOTTSDALE,MARICOPA,AZ,852513912,USA,2007-12-10 00:00:00,PO BOX 1040  ,,,,HELENA,LEWIS AND CLARK,MT,596241040,USA
NATIONAL DCP LLC,1077092,TPS,150 DEPOT ST  ,,,,BELLINGHAM,NORFOLK,MA,020191438,USA,2015-11-21 00:00:00,3805 CRESTWOOD PKWY NW STE 400,,STE,400,DULUTH,GWINNETT,GA,300967145,USA
BAHIA HOLDINGS LLC,1086705,TPS,16622 N 91ST ST STE 103,,STE,103,SCOTTSDALE,MARICOPA,AZ,852601585,USA,2015-12-23 00:00:00,,,,,,,,,
BEN BRIDGE JEWELERS #59,0131164,TPS,7014 E CAMELBACK RD STE 1080,,STE,1080,SCOTTSDALE,MARICOPA,AZ,852511230,USA,2016-01-11 00:00:00,PO BOX 1908  ,,,,SEATTLE,KING,WA,981111908,USA
CHECKPOINT SYSTEMS INC,1054765,TPS,101 WOLF DR  ,,,,THOROFARE,GLOUCESTER,NJ,080862243,USA,2015-12-21 00:00:00,101 WOLF DR  ,,,,THOROFARE,,NJ,080862243,USA
TRANS WORLD MARKETING CORPORAT,1123786,TPS,8655 E VIA DE VENTURA STE G200,,STE,G200,SCOTTSDALE,MARICOPA,AZ,852583321,USA,2016-02-03 00:00:00,360 MURRAY HILL PKWY  ,,,,EAST RUTHERFORD,BERGEN,NJ,070732109,USA
METAL MASTERS MECHANICAL LLC,1052357,TPS,3308 E MADISON ST  ,,,,PHOENIX,MARICOPA,AZ,850342825,USA,2015-11-21 00:00:00,3308 E MADISON ST  ,,,,PHOENIX,MARICOPA,AZ,850342825,USA
ALLAIRE INC,1094473,BOP,7811 E PIERCE ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852574605,USA,2017-12-19 00:00:00,,,,,,,,,
KIMBALL OFFICE INC,0897478,TPS,1600 ROYAL ST  ,,,,JASPER,DUBOIS,IN,475491022,USA,2015-11-21 00:00:00,1600 ROYAL ST  ,,,,JASPER,DUBOIS,IN,475491022,USA
HONEST-1 AUTO CARE,1031423,BOP,7430 E BUTHERUS DR STE A,,STE,A,SCOTTSDALE,MARICOPA,AZ,852602415,USA,2017-12-18 00:00:00,,,,,,,,,
BAN CHAN KOREAN CUISINE,1121447,TPS,2909 S DOBSON RD STE 7,,STE,7,MESA,MARICOPA,AZ,852027900,USA,2015-11-20 00:00:00,,,,,,,,,
TRENDS CORPORATION,1011497,TPS,6045 N SCOTTSDALE RD STE 205,,STE,205,SCOTTSDALE,MARICOPA,AZ,852505408,USA,2015-11-21 00:00:00,6200 E THOMAS RD STE 203,,STE,203,SCOTTSDALE,MARICOPA,AZ,852517047,USA
PV RUGS,1095137,TPS,10439 N SCOTTSDALE RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852531428,USA,2016-01-12 00:00:00,,,,,,,,,
SPRING CLEAR POOL SERVICE & RE,0881289,TPS,8232 E APPALOOSA TRL  ,,,,SCOTTSDALE,MARICOPA,AZ,852581305,USA,2016-01-06 00:00:00,,,,,,,,,
GMED INC,1039543,TPS,2125 N COMMERCE PKWY  ,,,,FORT LAUDERDALE,BROWARD,FL,333263238,USA,2015-12-30 00:00:00,3600 FAU BLVD STE 202,,STE,202,BOCA RATON,PALM BEACH,FL,334316474,USA
AC & HEATING PROS,1083381,TPS,12601 N CAVE CREEK RD STE 106,,STE,106,PHOENIX,MARICOPA,AZ,850226516,USA,2013-11-23 00:00:00,,,,,,,,,
HEATHER BAILEY LLC,1130697,TPS,4080 E OXFORD LN  ,,,,GILBERT,MARICOPA,AZ,852957717,USA,2016-10-06 00:00:00,,,,,,,,,
THE PAPER PLACE,0015495,TPS,4130 N MARSHALL WAY  ,,,,SCOTTSDALE,MARICOPA,AZ,852513810,USA,2015-12-29 00:00:00,,,,,,,,,
OOO!,1099808,TPS,15323 N SCOTTSDALE RD STE 120,,STE,120,SCOTTSDALE,MARICOPA,AZ,852542291,USA,2015-12-09 00:00:00,,,,,,,,,
S E CONSULTANTS INC,0861967,BOP,5800 E THOMAS RD STE 104,,STE,104,SCOTTSDALE,MARICOPA,AZ,852517510,USA,2017-12-14 00:00:00,,,,,,,,,
XTREME PAINT LLC,1130735,TPS,10121 W AVENIDA DEL SOL  ,,,,PEORIA,MARICOPA,AZ,853832778,USA,2016-10-10 00:00:00,,,,,,,,,
REED LANDSCAPE,1099301,TPS,5424 S 32ND ST  ,,,,PHOENIX,MARICOPA,AZ,850403853,USA,2016-01-04 00:00:00,PO BOX 144  ,,,,QUEEN CREEK,MARICOPA,AZ,851421802,USA
VICTORIA'S SECRET STORE #467,0934864,TPS,7014 E CAMELBACK RD STE 1073,,STE,1073,SCOTTSDALE,MARICOPA,AZ,852511210,USA,2015-12-11 00:00:00,PO BOX 182515  ,,,,COLUMBUS,FRANKLIN,OH,432182515,USA
GROW LAND LLC,1061146,TPS,7031 E LATHAM ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852573311,USA,2015-12-18 00:00:00,,,,,,,,,
MY SCOTTSDALE DENTIST,1124667,BOP,9070 E DESERT COVE AVE STE 105,,STE,105,SCOTTSDALE,MARICOPA,AZ,852606710,USA,2018-01-29 00:00:00,,,,,,,,,
CASEY HOLDINGS I LLC SERIES S,1110456,TPS,3225 N CIVIC CENTER PLZ  ,,,,SCOTTSDALE,MARICOPA,AZ,852516919,USA,2015-12-04 00:00:00,4414 N CIVIC CENTER PLZ STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852513563,USA
AMERICAN GIRL,1128359,TPS,15059 N SCOTTSDALE RD STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852542390,USA,2016-08-03 00:00:00,PO BOX 609  ,,,,EAST AURORA,ERIE,NY,140520609,USA
8130 LLC,1055195,TPS,8130 N 86TH PL  ,,,,SCOTTSDALE,MARICOPA,AZ,852584308,USA,2016-01-19 00:00:00,,,,,,,,,
OSR PHYSICAL THERAPY,1091987,BOP,9375 E BELL RD STE 107,,STE,107,SCOTTSDALE,MARICOPA,AZ,852601541,USA,2017-12-01 00:00:00,41125 N DAISY MOUNTAIN DR STE 125,,STE,125,ANTHEM,MARICOPA,AZ,850864964,USA
CIVIC CENTER REAL ESTATE LLC,1094219,BOP,4414 N CIVIC CENTER PLZ STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852513563,USA,2018-01-11 00:00:00,,,,,,,,,
LIFEPORT INC,1081478,TPS,1610 HERITAGE ST  ,,,,WOODLAND,COWLITZ,WA,986749581,USA,2016-04-26 00:00:00,PO BOX 61511  ,,,,KING OF PRUSSIA,MONTGOMERY,PA,194060911,USA
CASA BUENA CONSTRUCTION LLC,1079121,TPS,6747 E PARADISE LN  ,,,,SCOTTSDALE,MARICOPA,AZ,852545604,USA,2013-12-17 00:00:00,11831 N BLACKHEATH RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852544808,USA
GREENWOOD & MCKENZIE,1022865,TPS,7891 E MCCLAIN DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852601675,USA,2015-12-30 00:00:00,440 W 1ST ST STE 201,,STE,201,TUSTIN,ORANGE,CA,927803093,USA
LAGRANT ENTERPRISES LLC,1116869,TPS,5995 N 78TH ST UNIT 2047,,UNIT,2047,SCOTTSDALE,MARICOPA,AZ,852506179,USA,2015-11-21 00:00:00,7330 E EARLL DR STE 1,,STE,1,SCOTTSDALE,MARICOPA,AZ,852517221,USA
SOUTHWEST SHOWER DOOR LLC,1036881,TPS,6817 E HUBBELL ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852572634,USA,2015-04-13 00:00:00,,,,,,,,,
CATHERINE RICE,1001797,TPS,2357 E BECKER LN  ,,,,PHOENIX,MARICOPA,AZ,850283105,USA,2008-01-03 00:00:00,,,,,,,,,
MIRANDA JEWELRY INC,1058279,TPS,3902 N BROWN AVE STE 104,,STE,104,SCOTTSDALE,MARICOPA,AZ,852514448,USA,2015-12-21 00:00:00,,,,,,,,,
CHRISTIAN COUNSELING CENTER OF,1001096,BOP,8114 E CACTUS RD STE 200,,STE,200,SCOTTSDALE,MARICOPA,AZ,852605260,USA,2007-12-10 00:00:00,,,,,,,,,
DR BILL GALLAGHER DC,0907424,BOP,8426 E SHEA BLVD  ,,,,SCOTTSDALE,MARICOPA,AZ,852606634,USA,2008-01-23 00:00:00,,,,,,,,,
CPA ADVANTAGE REALTY LLC,1077182,BOP,10049 E DYNAMITE BLVD STE 135,,STE,135,SCOTTSDALE,MARICOPA,AZ,852623695,USA,2018-02-01 00:00:00,2500 S POWER RD STE 124,,STE,124,MESA,MARICOPA,AZ,852096688,USA
CARLSON HOMES CONSTRUCTION LLC,1111408,TPS,7500 E MCCORMICK PKWY LOT 15,,LOT,15,SCOTTSDALE,MARICOPA,AZ,852582909,USA,2015-11-21 00:00:00,PO BOX 28370  ,,,,SCOTTSDALE,MARICOPA,AZ,852550156,USA
INVESTMENT PAINTING SERVICES I,0137303,TPS,2033 W NORTH LN STE 16,,STE,16,PHOENIX,MARICOPA,AZ,850211900,USA,2015-12-24 00:00:00,,,,,,,,,
DESERT COMMUNITY ROBOTICS,1119627,TPS,9825 E BELL RD STE 110,,STE,110,SCOTTSDALE,MARICOPA,AZ,852602348,USA,2015-12-18 00:00:00,10492 E RAINTREE DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852558516,USA
THE PET SALON,1114132,TPS,7609 E PINNACLE PEAK RD STE 1,,STE,1,SCOTTSDALE,MARICOPA,AZ,852553460,USA,2015-12-22 00:00:00,5220 W TARO LN  ,,,,GLENDALE,MARICOPA,AZ,853084930,USA
THE LAW OFFICE OF RILEY S SNOW,1091678,BOP,14362 N FRANK LLOYD WRIGHT BLVD STE 1000,,STE,1000,SCOTTSDALE,MARICOPA,AZ,852608847,USA,2018-02-08 00:00:00,,,,,,,,,
THE CAR GUYS OF SCOTTSDALE,1019452,TPS,8140 E BUTHERUS DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852602522,USA,2015-12-02 00:00:00,23233 N PIMA RD STE 113,,STE,113,SCOTTSDALE,MARICOPA,AZ,852558385,USA
AIREPROS A/C & HEATING LLC,1088489,TPS,26327 N 112TH AVE  ,,,,PEORIA,MARICOPA,AZ,853839734,USA,2015-12-11 00:00:00,24654 N LAKE PLEASANT PKWY STE 103-340,,STE,103-340,PEORIA,MARICOPA,AZ,853831359,USA
DELONE,1118481,TPS,3313 N 68TH ST UNIT 121,,UNIT,121,SCOTTSDALE,MARICOPA,AZ,852516240,USA,2016-03-03 00:00:00,4711 E FALCON DR STE 221,,STE,221,MESA,MARICOPA,AZ,852152508,USA
THE RICH DAD COMPANY,1053970,TPS,4330 N CIVIC CENTER PLZ  ,,,,SCOTTSDALE,MARICOPA,AZ,852513528,USA,2016-01-06 00:00:00,4330 N CIVIC CENTER PLZ STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852513529,USA
IMPERIAL WOODWORKS INC,1017191,TPS,7201 MARS DR  ,,,,WOODWAY,MCLENNAN,TX,767126635,USA,2015-12-16 00:00:00,PO BOX 7835  ,,,,WACO,MCLENNAN,TX,767147835,USA
IMPERIAL SUPPLIES,0905939,TPS,789 ARMED FORCES DR  ,,,,GREEN BAY,BROWN,WI,543044527,USA,2015-12-15 00:00:00,PO BOX 11008  ,,,,GREEN BAY,BROWN,WI,543071008,USA
WATCHMAN SURVIVAL,1091703,TPS,8614 E ANGUS DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852515012,USA,2016-01-06 00:00:00,,,,,,,,,
FULL HOUSE REALTY OF AZ LLC,1107619,TPS,12405 W ALVARADO RD  ,,,,AVONDALE,MARICOPA,AZ,853926529,USA,2016-01-28 00:00:00,12405 W ALVARADO RD  ,,,,AVONDALE,MARICOPA,AZ,853926529,USA
VIATOR ASSOCIATES INC,0139861,TPS,27105 N 44TH ST  ,,,,CAVE CREEK,,AZ,853310000,USA,2015-12-24 00:00:00,,,,,,,,,
DAGNEY ENTERPRISES LLC,1047482,TPS,16621 N 91ST ST STE 104,,STE,104,SCOTTSDALE,MARICOPA,AZ,852601524,USA,2015-12-09 00:00:00,6431 E EVERETT DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852542626,USA
FLWTPP LLC,0876351,TPS,15029 N THOMPSON PEAK PKWY  ,,,,SCOTTSDALE,MARICOPA,AZ,852602217,USA,2016-01-05 00:00:00,2710 E CAMELBACK RD STE 210,,STE,210,PHOENIX,MARICOPA,AZ,850164318,USA
WALLY'S AMERICAN GASTRO PUB #1,1127842,TPS,7704 E DOUBLETREE RANCH RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852582121,USA,2016-06-24 00:00:00,8390 E VIA DE VENTURA STE F110-208,,STE,F110-208,SCOTTSDALE,MARICOPA,AZ,852583188,USA
RAINBOW ELECTRIC COMPANY,0011014,TPS,7805 E SWEETWATER AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852604804,USA,2016-04-21 00:00:00,,,,,,,,,
SPINNERS ON THE GREEN,0926284,TPS,7607 E MCDOWELL RD STE 115,,STE,115,SCOTTSDALE,MARICOPA,AZ,852573605,USA,2015-12-28 00:00:00,,,,,,,,,
SAM AND KATE DESIGN LLC,1115584,TPS,13831 N 42ND PL  ,,,,PHOENIX,MARICOPA,AZ,850325847,USA,2015-12-09 00:00:00,15602 N 40TH PL  ,,,,PHOENIX,MARICOPA,AZ,850324102,USA
DUTCH OPHTHALMIC USA INC,1029158,TPS,10 CONTINENTAL DR  ,,,,EXETER,ROCKINGHAM,NH,038337507,USA,2016-09-13 00:00:00,,,,,,,,,
SMALL BUSINESS NETWORKS LLC,1057849,TPS,10751 N FRANK LLOYD WRIGHT BLVD STE 110,,STE,110,SCOTTSDALE,MARICOPA,AZ,852592690,USA,2016-03-24 00:00:00,,,,,,,,,
WILD GOLD SUPPLEMENTS LLC,1130383,TPS,833 NEBRASKA ST  ,,,,GOODING,GOODING,ID,833301634,USA,2016-09-27 00:00:00,,,,,,,,,
JUST PICTURE THIS,1015633,TPS,10504 E BELLA VISTA DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852585762,USA,2014-12-31 00:00:00,,,,,,,,,
ONCUE STAGING INC,1064312,TPS,1846 E ROSEMEADE PKWY  ,,,,CARROLLTON,DENTON,TX,750072637,USA,2015-12-09 00:00:00,10521 E MEADOWHILL DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852551733,USA
SEVEN FOOT CONSTSRUCTION,1111013,TPS,7816 N VIA DE LA SOMBRE  ,,,,SCOTTSDALE,MARICOPA,AZ,852583209,USA,2015-12-22 00:00:00,,,,,,,,,
AZ COLLEGE CONSULTING,1071469,BOP,14362 N FRANK LLOYD WRIGHT BLVD STE 1000,,STE,1000,SCOTTSDALE,MARICOPA,AZ,852608847,USA,2018-01-04 00:00:00,4032 E ROWEL RD  ,,,,PHOENIX,MARICOPA,AZ,850508974,USA
ACTION ILLUSTRATED,1048342,TPS,7655 E REDFIELD RD STE 6,,STE,6,SCOTTSDALE,MARICOPA,AZ,852606907,USA,2016-01-28 00:00:00,,,,,,,,,
REMES INVESTMENTS LLC,1068796,TPS,7860 E MCCLAIN DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852601679,USA,2015-12-11 00:00:00,7121 E RANCHO VISTA DR UNIT 1006,,UNIT,1006,SCOTTSDALE,MARICOPA,AZ,852511368,USA
REM FINANCE INC,0086420,BOP,16055 N DIAL BLVD STE 4,,STE,4,SCOTTSDALE,MARICOPA,AZ,852601642,USA,2018-01-29 00:00:00,16055 N DIAL BLVD STE 4,,STE,4,SCOTTSDALE,MARICOPA,AZ,852601642,USA
LABEL GLASS,1094795,TPS,345 N CHATSWORTH CIR  ,,,,MESA,MARICOPA,AZ,852077268,USA,2016-01-25 00:00:00,1880 E KENT AVE  ,,,,CHANDLER,MARICOPA,AZ,852251634,USA
LEAGAN REALTY,1067892,BOP,12862 E SUMMIT DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852593536,USA,2017-12-05 00:00:00,8776 E SHEA BLVD STE 106-214,,STE,106-214,SCOTTSDALE,MARICOPA,AZ,852606629,USA
OUTDOOR LIGHTING PERSPECTIVES,1091746,TPS,763 W DOUGLAS AVE  ,,,,GILBERT,MARICOPA,AZ,852333244,USA,2016-01-06 00:00:00,1928 E HIGHLAND AVE STE F104-507,,STE,F104-507,PHOENIX,MARICOPA,AZ,850160651,USA
RGA PROPERTIES LLC,0884218,TPS,7821 E ACOMA DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852603457,USA,2015-12-07 00:00:00,2150 E HIGHLAND AVE STE 207,,STE,207,PHOENIX,MARICOPA,AZ,850164721,USA
J R L LANDSCAPE & DESIGN INC,1071615,TPS,8644 E ROANOKE AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852571841,USA,2015-12-30 00:00:00,,,,,,,,,
CORNERSTONE CABINET COMPANY,1059082,TPS,4518 E BARBARITA CT  ,,,,GILBERT,MARICOPA,AZ,852347619,USA,2016-01-26 00:00:00,1959 S POWER RD STE 103-319,,STE,103-319,MESA,MARICOPA,AZ,852063768,USA
BAKER BROTHERS FLOOR COVERING,0874444,TPS,5090 N HAYDEN RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852507267,USA,2016-01-05 00:00:00,4219 E BROADWAY RD STE 116,,STE,116,PHOENIX,MARICOPA,AZ,850408888,USA
JL AUTOMATION LLC,1102169,TPS,4215 E CAROLINE LN  ,,,,GILBERT,MARICOPA,AZ,852967906,USA,2015-12-30 00:00:00,,,,,,,,,
IFIX AZ,1093101,TPS,16050 N 76TH ST STE 201,,STE,201,SCOTTSDALE,MARICOPA,AZ,852601634,USA,2015-02-03 00:00:00,12655 N 16TH DR  ,,,,PHOENIX,MARICOPA,AZ,850292802,USA
SERVICE MASTER,1068861,TPS,1425 N HOBSON ST  ,,,,GILBERT,MARICOPA,AZ,852331227,USA,2015-12-04 00:00:00,,,,,,,,,
SUGEVITY USB RESIDENTIAL LESSE,1090809,TPS,66 FRANKLIN ST STE 310,,STE,310,OAKLAND,ALAMEDA,CA,946073734,USA,2015-12-23 00:00:00,PO BOX 4387  ,,,,PORTLAND,MULTNOMAH,OR,972084387,USA
SQUARE PICTURES INC,1068059,BOP,14201 N HAYDEN RD STE C2,,STE,C2,SCOTTSDALE,MARICOPA,AZ,852602929,USA,2018-01-23 00:00:00,,,,,,,,,
CANON SOLUTIONS AMERICA INC,1031291,TPS,1475 N SCOTTSDALE RD STE 400,,STE,400,SCOTTSDALE,MARICOPA,AZ,852573506,USA,2016-07-01 00:00:00,300 COMMERCE SQUARE BLVD  ,,,,BURLINGTON,BURLINGTON,NJ,080161270,USA
BENT NAILS INC,1044294,TPS,6249 E CALLE CAMELIA  ,,,,SCOTTSDALE,MARICOPA,AZ,852514208,USA,2016-01-29 00:00:00,PO BOX 97610  ,,,,PHOENIX,MARICOPA,AZ,850607610,USA
INSPIRATIONS BY JODY,1130881,TPS,26015 N 42ND LN  ,,,,PHOENIX,MARICOPA,AZ,850831619,USA,2016-10-18 00:00:00,,,,,,,,,
MOTHERS POLISHES WAXES CLEANER,1113556,TPS,5456 INDUSTRIAL DR  ,,,,HUNTINGTON BEACH,ORANGE,CA,926491519,USA,2016-01-06 00:00:00,,,,,,,,,
BLACKBERRY CORPORATION,1101411,TPS,5000 RIVERSIDE DR STE 100E,,STE,100E,IRVING,DALLAS,TX,750394333,USA,2016-04-05 00:00:00,5030 RIVERSIDE DR STE 200,,STE,200,IRVING,DALLAS,TX,750394336,USA
DELTA CONSTRUCTION SERVICES LL,1104305,TPS,3420 E SHEA BLVD STE 200,,STE,200,PHOENIX,MARICOPA,AZ,850283348,USA,2016-01-07 00:00:00,10645 N TATUM BLVD STE 200,,STE,200,PHOENIX,MARICOPA,AZ,850283068,USA
LIMELIGHT MUSIC & ENTERTAINMEN,0028124,BOP,8876 E VOLTAIRE DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852604207,USA,2018-07-05 00:00:00,PO BOX 15633  ,,,,SCOTTSDALE,MARICOPA,AZ,852675633,USA
LIVEWIRE,1106043,TPS,7340 E INDIAN PLZ  ,,,,SCOTTSDALE,MARICOPA,AZ,852513571,USA,2015-12-17 00:00:00,,,,,,,,,
SPIGA CUCINA ITALIANA,1105757,TPS,7500 E PINNACLE PEAK RD STE J125,,STE,J125,SCOTTSDALE,MARICOPA,AZ,852553406,USA,2015-12-16 00:00:00,,,,,,,,,
SYSTEMS IMAGINATION INC,1120230,BOP,7730 E GREENWAY RD STE 205,,STE,205,SCOTTSDALE,MARICOPA,AZ,852601788,USA,2018-01-09 00:00:00,,,,,,,,,
DV PROPERTIES LLC,1035152,TPS,16412 N 92ND ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852601932,USA,2015-12-14 00:00:00,5635 E LINCOLN DR UNIT 22,,UNIT,22,PARADISE VALLEY,MARICOPA,AZ,852534121,USA
THE YARD CIGAR BAR,1126486,TPS,1981 W ELLIOT RD  ,,,,CHANDLER,MARICOPA,AZ,852241841,USA,2016-05-02 00:00:00,,,,,,,,,
CANTERRA LIGHTING,1099833,TPS,8698 E SAN ALBERTO  ,,,,SCOTTSDALE,MARICOPA,AZ,852584306,USA,2015-12-16 00:00:00,,,,,,,,,
SWANSON,1114591,TPS,16420 N THOMPSON PEAK PKWY UNIT 2116,,UNIT,2116,SCOTTSDALE,MARICOPA,AZ,852602155,USA,2015-12-31 00:00:00,5320 N 16TH ST STE 101,,STE,101,PHOENIX,MARICOPA,AZ,850163241,USA
LAW OFFICE OF MARSHALL A MARTI,0027902,BOP,8585 E HARTFORD DR STE 800,,STE,800,SCOTTSDALE,MARICOPA,AZ,852555436,USA,2007-12-13 00:00:00,8585 E HARTFORD DR STE 800,,STE,800,SCOTTSDALE,MARICOPA,AZ,852555475,USA
MAYO FOUNDATION FOR MEDICAL ED,1065694,TPS,13400 E SHEA BLVD  ,,,,SCOTTSDALE,MARICOPA,AZ,852595499,USA,2015-12-14 00:00:00,200 1ST ST SW  ,,,,ROCHESTER,OLMSTED,MN,559050002,USA
GINO OF SWITZERLAND BEAUTY SAL,1045392,BOP,1625 N GRANITE REEF RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852573035,USA,2017-12-29 00:00:00,,,,,,,,,
SMALL ARMS LIQUIDATORS EXCHANG,1126208,TPS,9739 E WINDROSE DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852604614,USA,2016-04-19 00:00:00,6929 N HAYDEN RD STE C4-113,,STE,C4-113,SCOTTSDALE,MARICOPA,AZ,852507991,USA
CORONA GEMS LLC,1054457,BOP,14555 N SCOTTSDALE RD STE 330,,STE,330,SCOTTSDALE,MARICOPA,AZ,852543487,USA,2017-12-05 00:00:00,14555 N SCOTTSDALE RD STE 330,,STE,330,SCOTTSDALE,MARICOPA,AZ,852543487,USA
TRUE METAL SOLUTIONS LLC,1102929,TPS,3530 E ATLANTA AVE  ,,,,PHOENIX,MARICOPA,AZ,850402847,USA,2015-12-30 00:00:00,,,,,,,,,
ECKHARDT,1111848,TPS,8787 E MOUNTAIN VIEW RD UNIT 1095,,UNIT,1095,SCOTTSDALE,MARICOPA,AZ,852586231,USA,2015-02-05 00:00:00,7373 E DOUBLETREE RANCH RD STE 200,,STE,200,SCOTTSDALE,MARICOPA,AZ,852582037,USA
AMERICAN TRAFFIC SOLUTIONS INC,1124154,TPS,1150 N ALMA SCHOOL RD  ,,,,MESA,MARICOPA,AZ,852013000,USA,2016-02-18 00:00:00,,,,,,,,,
